标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
北京6日游，自由行,https://travel.qunar.com/youji/5978479,kalf2314,2015-10-12 出发,共6天,39张照片,,,人均4500元,5355,23,0
北京红色之旅|去【铁道博物馆】看毛爷爷,https://travel.qunar.com/youji/6630838,sghssesse,2016-11-15 出发,共1天,23张照片,亲子,短途周末,,5427,2,0
20出头的记忆——夏末秋初一个人行走在北京城,https://travel.qunar.com/youji/6561734,喵小喵爱漂,2016-08-29 出发,共6天,119张照片,独自一人,美食 毕业游 夏季 摄影 徒步,人均1500元,3853,6,0
心飞扬之北京周末随性游,https://travel.qunar.com/youji/6621409,独自一人飞翔,2016-11-04 出发,共3天,66张照片,独自一人,短途周末,人均1000元,3994,3,1
北京皇城根儿三日游,https://travel.qunar.com/youji/7687059,895165469,2021-07-01 出发,共3天,40张照片,三五好友,古镇 摄影 夏季,人均2280元,969,28,2
赏京华烟云，走过不经意的北京,https://travel.qunar.com/youji/1935427,ai旅行的小妞,2013-07-09 出发,共4天,67张照片,,美食,,1.8万,7,6
人人诟病的【太平洋海底世界】应该怎么玩？,https://travel.qunar.com/youji/6614068,sghssesse,2016-10-31 出发,共1天,15张照片,亲子,短途周末,,6836,2,0
京城高校行，开启梦想之旅,https://travel.qunar.com/youji/4664607,fxli5038,2014-10-04 出发,共3天,20张照片,独自一人,购物 美食 短途周末,人均100元,4383,6,1
品味胡同文化，看故宫辉煌。,https://travel.qunar.com/youji/7446549,白的发光蜜斯...,2018-10-19 出发,共2天,50张照片,,美食 短途周末 摄影 徒步 赏秋 人文 第一次,人均200元,2381,5,0
北京【自然博物馆】奇妙的时光机穿梭之旅,https://travel.qunar.com/youji/6624326,sghssesse,2016-11-06 出发,共1天,24张照片,家庭,短途周末,,6164,9,0
北京动物园半天。,https://travel.qunar.com/youji/6570224,虾米lhx,2016-09-18 出发,共1天,126张照片,独自一人,,人均15元,3891,6,1
秋色迷离的水长城,https://travel.qunar.com/youji/6064717,97烟雨江南,2015-10-18 出发,共0天,78张照片,家庭,美食 自驾 赏秋,人均45元,1684,2,1
北京,https://travel.qunar.com/youji/5574470,爱喝可乐的坏...,2015-06-06 出发,共5天,78张照片,家庭,,人均1500元,4681,26,1
赏古建品美食，三五好友进京记,https://travel.qunar.com/youji/6438841,余姚阿涛,2016-06-07 出发,共3天,89张照片,三五好友,美食 短途周末,人均1500元,2225,11,0
北京欢乐谷甜品王国开放啦！欢乐谷都是刺激项目？NO！各种花样玩法等你来试,https://travel.qunar.com/youji/7031675,一杯奶昔昔,2018-05-03 出发,共1天,22张照片,三五好友,夏季 短途周末,人均300元,7335,3,0
穿越八达岭古长城,https://travel.qunar.com/youji/6544727,chronosddm,2015-02-14 出发,共2天,200张照片,,,,2414,11,0
我的北京，北京~~,https://travel.qunar.com/youji/6527157,uyvc1517,2016-07-23 出发,共8天,102张照片,独自一人,美食 人文,人均1300元,2357,2,0
北京，四月,https://travel.qunar.com/youji/7469207,pizbj,2019-04-12 出发,共4天,101张照片,家庭,,,3435,23,4
深秋京城赏菊之北海公园,https://travel.qunar.com/youji/6641892,ysmp0897,2016-11-05 出发,共1天,81张照片,独自一人,短途周末 摄影 赏秋 人文,人均4元,3727,4,0
北京随意走（南锣鼓巷后海北京大学）,https://travel.qunar.com/youji/6661792,东拉la西扯ch...,2015-03-21 出发,共3天,49张照片,闺蜜,美食,人均1800元,5659,8,0
探寻京城深处  绝美，这个秋天一定要去一次！,https://travel.qunar.com/youji/6947000,小汽儿,2017-11-07 出发,共1天,100张照片,三五好友,探险 赏秋,人均188元,2116,1,0
北京8日亲子游,https://travel.qunar.com/youji/6244015,人生广角2015,2016-02-10 出发,共8天,80张照片,亲子,,人均3300元,4913,5,1
密云外八景之冶仙塔,https://travel.qunar.com/youji/6034806,申申1,2015-08-08 出发,共1天,71张照片,,,,4456,8,0
朕的家业变成了网红景点，还要被你们花式玩？,https://travel.qunar.com/youji/6975659,Qunar攻略小...,2018-01-11 出发,共3天,31张照片,三五好友,短途周末 摄影 人文,,3474,5,0
详录亲子毅行北京5日游攻略,https://travel.qunar.com/youji/2982152,内心的行者,2014-02-21 出发,共5天,34张照片,亲子,美食,,2.3万,48,9
2015北京行,https://travel.qunar.com/youji/5804354,mtwt2397,2015-08-17 出发,共0天,没有照片,亲子,,人均4000元,1734,2,1
"2016,行走玉渊潭之夏影、夕阳、夜色（80美图无PS）",https://travel.qunar.com/youji/6743740,梁lsh,2016-05-21 出发,共1天,84张照片,,,,2197,0,0
三三得九 北京之行,https://travel.qunar.com/youji/7634541,黑皮崽崽,2020-11-07 出发,共4天,56张照片,三五好友,美食 赏秋,人均2500元,502,1,0
北京～我爱我的祖国♡,https://travel.qunar.com/youji/7528409,呵呵hi飞碟,2019-08-21 出发,共3天,27张照片,家庭,暑假 第一次,,1514,8,2
2015春节石家庄-北京探亲自驾4日游,https://travel.qunar.com/youji/5215105,蓝色骑士93,2015-02-21 出发,共4天,90张照片,家庭,美食 自驾,人均500元,4394,4,0
【西域行之一】中国美术馆,https://travel.qunar.com/youji/6872601,四海翁,2015-05-30 出发,共1天,37张照片,三五好友,摄影 人文,,2171,4,0
你可曾经历过，北国的春夏秋冬【记录篇】,https://travel.qunar.com/youji/6571913,去可可西里看...,2016-05-25 出发,共4天,72张照片,三五好友,夏季 踏春,,3691,5,1
一路向北，生活向阳。北京内蒙露营,https://travel.qunar.com/youji/5001491,樱桃小玲子,2014-06-26 出发,共5天,98张照片,三五好友,自驾,,5257,5,2
古北水镇游记和一些心理体悟,https://travel.qunar.com/youji/6862587,bhex1524,2016-12-10 出发,共1天,125张照片,,,,6537,11,0
京城日闲·随性随行——（咖啡·书·酒）,https://travel.qunar.com/youji/5749298,wnn212,2015-07-25 出发,共2天,132张照片,独自一人,短途周末,人均500元,5621,14,0
全家游北京,https://travel.qunar.com/youji/7019120,爱做饭的美小...,2018-04-03 出发,共3天,94张照片,家庭,短途周末,人均1600元,6060,29,4
偷来的北京3日游,https://travel.qunar.com/youji/7012807,sola-lilies,2018-01-20 出发,共3天,137张照片,,,,1703,1,0
北京闺蜜游,https://travel.qunar.com/youji/5764406,Traveling-wi...,2015-07-23 出发,共6天,127张照片,闺蜜,美食,,6297,5,2
突然决定去首都,https://travel.qunar.com/youji/5748177,小祥飞回家去,2015-07-21 出发,共6天,22张照片,独自一人,短途周末,人均7000元,4672,2,4
四月怀柔，自驾一日游,https://travel.qunar.com/youji/6636706,自由303,2016-04-10 出发,共1天,97张照片,家庭,自驾,,6942,9,0
故宫时光，四季不休【连载ing.】,https://travel.qunar.com/youji/6119425,唯巫主义,2015-02-18 出发,共10天,285张照片,,,,6126,5,0
北京博物馆游之邮票邮政-妇女儿童-史家胡同-保利艺术博物馆,https://travel.qunar.com/youji/6738971,熙lrx,2016-09-22 出发,共1天,50张照片,,,人均200元,3167,3,0
#北京美食#带您吃遍最火的明星餐厅,https://travel.qunar.com/youji/7044671,五仁月饼Live,2018-06-01 出发,共1天,44张照片,三五好友,美食,,1944,3,0
让子弹在“云梦仙境”飞一会儿,https://travel.qunar.com/youji/6629022,冬尽了csx,2016-05-28 出发,共1天,97张照片,三五好友,美食 摄影 人文,人均128元,5046,3,0
北京5家正宗的江浙菜，不在江浙也能感受江浙味道,https://travel.qunar.com/youji/7418717,娟娟娟娟酱,2018-11-06 出发,共1天,25张照片,三五好友,万圣节 清明 购物 跨年 圣诞 美食 中秋节 寒假 端午 五一 短途周末 暑假 人文 夏季 踏春 冬季 赏秋 春节 国庆,,2.9万,3,1
北京3家超炫酷蹦床馆，让你一秒回到小时候,https://travel.qunar.com/youji/7416918,娟娟娟娟酱,2018-11-01 出发,共1天,25张照片,三五好友,万圣节 清明 跨年 圣诞 中秋节 寒假 端午 自驾 五一 暑假 短途周末 探险 第一次 深度游 穷游 漫游 夏季 踏春 冬季 赏秋 春节 国庆,人均100元,2.2万,9,0
北京5家小众室内亲子游乐园，拒绝雾霾拒绝寒冷,https://travel.qunar.com/youji/7413249,娟娟娟娟酱,2018-10-23 出发,共1天,19张照片,亲子,万圣节 跨年 圣诞 寒假 短途周末 摄影 冬季 春节,人均200元,9225,5,0
周末新玩法 | 带着爸妈去京郊赶个集 京郊大集盘点,https://travel.qunar.com/youji/7411329,娟娟娟娟酱,2018-10-18 出发,共1天,13张照片,亲子,万圣节 购物 自驾 短途周末 冬季 春节,人均100元,1.4万,7,0
周末新玩法 | 带着爸妈去京郊赶个集,https://travel.qunar.com/youji/7410083,娟娟娟娟酱,2018-10-15 出发,共1天,16张照片,家庭,跨年 自驾 短途周末 赏秋 春节 国庆,人均50元,18.6万,4,0
小白二人组的第一次出游,https://travel.qunar.com/youji/5988011,稚音,2015-10-20 出发,共5天,123张照片,情侣,蜜月 第一次,人均2700元,5824,4,0
绝美的灵气在北京水长城,https://travel.qunar.com/youji/6974619,香山的丽丽,2018-01-06 出发,共1天,46张照片,三五好友,古镇 短途周末 摄影 徒步 人文,人均105元,2598,2,1
十渡东湖港一日游,https://travel.qunar.com/youji/5667118,holidayfly,2015-07-07 出发,共1天,8张照片,三五好友,自驾,人均150元,1.8万,44,0
初见圆明园,https://travel.qunar.com/youji/6897280,云长,2017-08-29 出发,共1天,292张照片,独自一人,人文,人均1元,2543,10,2
舌尖上的帝都，品尝丰富多样的美食,https://travel.qunar.com/youji/6479206,江山尽入画,2014-05-15 出发,共3天,57张照片,,美食,,2473,6,0
天朝帝都,https://travel.qunar.com/youji/4996652,00虾虾00,2014-12-30 出发,共5天,115张照片,家庭,,人均3000元,3816,6,1
【北京地铁6号线西延段年底开通】一起来看看，6号线上到底都有哪些好玩的地方~！,https://travel.qunar.com/youji/6977817,魑魅魍魉Q,2018-01-15 出发,共1天,18张照片,,,,2005,0,0
三春图景，一座帝京,https://travel.qunar.com/youji/6975746,易之棠,2017-10-01 出发,共10天,63张照片,独自一人,摄影 人文,人均2000元,2044,0,0
2014国庆——吃货在北京,https://travel.qunar.com/youji/5824967,Gina1231,2014-10-01 出发,共5天,78张照片,情侣,美食 国庆,人均3000元,4369,10,1
三天两夜的北京： 这是我们工作、生活、年轻的地方,https://travel.qunar.com/youji/6962718,三天两夜指南,2017-12-18 出发,共3天,81张照片,三五好友,美食 短途周末 冬季,人均2000元,2901,6,1
特赦假期，细雨中穿越灵山,https://travel.qunar.com/youji/6103079,young851018,2014-04-19 出发,共2天,73张照片,三五好友,短途周末,人均60元,2692,1,0
三环以内也能觅得这世外桃源--玉渊潭公园,https://travel.qunar.com/youji/5915057,梁lsh,2015-09-05 出发,共1天,87张照片,独自一人,短途周末,人均10元,1642,3,0
王府井下挖出来的北京城——和平菓局,https://travel.qunar.com/youji/7690468,penny,2021-07-18 出发,共1天,64张照片,亲子,暑假 短途周末,,174,8,1
秋游金海湖,https://travel.qunar.com/youji/6589238,柠_檬_不酸,2016-10-03 出发,共1天,132张照片,情侣,美食 自驾 短途周末,人均200元,3476,6,0
今年最让CNN惊艳的书店竟然离故宫这么近！这还是我认识的前门吗?,https://travel.qunar.com/youji/7387357,Qunar攻略小...,2018-08-31 出发,共1天,45张照片,,,,4.2万,107,1
【走遍京郊】门头沟《“眩光普照”的妙峰山》随风随性,https://travel.qunar.com/youji/6728738,独自随风,2017-01-14 出发,共1天,52张照片,,,,2638,2,0
除夕日逛故宫,https://travel.qunar.com/youji/6630040,冬尽了csx,2016-02-07 出发,共1天,107张照片,三五好友,摄影 人文,人均78元,4701,4,0
13年国庆北京家人4日休闲详细攻略,https://travel.qunar.com/youji/2449820,susansu2013,2013-10-04 出发,共5天,37张照片,,美食 国庆,,5.8万,16,12
到南锣鼓巷和北锣鼓巷，去感受北京的热闹和静谧,https://travel.qunar.com/youji/7054975,谢徐疯子,2018-06-23 出发,共1天,171张照片,三五好友,购物 美食 古镇 骑行 毕业游 短途周末 摄影 徒步 人文 第一次 深度游 穷游 夏季 冬季 春节 国庆 万圣节 清明 跨年 圣诞 中秋节 寒假 端午 五一 暑假,人均50元,6768,13,0
#做上镜女1号#找寻记忆中的老北京,https://travel.qunar.com/youji/5894854,傲儿君,2014-02-07 出发,共4天,99张照片,家庭,美食 短途周末,人均100元,1927,2,0
力竭至疲，甘露相逢——北灵山,https://travel.qunar.com/youji/5550172,总钻风_明,2015-05-23 出发,共2天,162张照片,三五好友,美食 短途周末,人均200元,3332,1,0
#北京庙会# 你不会只知道地坛吧？听说这几个庙会才是各有特色！！,https://travel.qunar.com/youji/6989438,JX小星星,2018-02-05 出发,共1天,25张照片,三五好友,美食 摄影 人文 春节,人均100元,5190,18,0
闺密十年：周末游北京，谢谢亲爱的陪我任性,https://travel.qunar.com/youji/6056239,静静抵达,2015-11-20 出发,共3天,44张照片,闺蜜,短途周末,人均520元,2783,13,0
偷得浮生半日闲,https://travel.qunar.com/youji/5877303,xkii2140,2015-09-11 出发,共1天,25张照片,独自一人,自驾,,880,0,0
北京周末吃什么？这个地方只属于吃货的你！,https://travel.qunar.com/youji/6971553,JX小星星,2018-01-04 出发,共1天,40张照片,三五好友,美食 短途周末,人均100元,4733,40,0
背着飞机走长城：西水峪东大楼－二道关,https://travel.qunar.com/youji/6634216,锦衣卫指挥史,2016-05-20 出发,共1天,74张照片,三五好友,,人均60元,2912,1,1
【雪泡儿印记】帝都百里外的度假圣地”金海湖“，一个给你活到121岁的地方,https://travel.qunar.com/youji/6866595,雪泡儿Morphi...,2017-06-25 出发,共3天,121张照片,三五好友,,人均1000元,2603,1,0
北京亲子冬季7日游,https://travel.qunar.com/youji/6493385,芊0216,2016-02-10 出发,共7天,66张照片,亲子,冬季,,1.1万,95,1
我的北京 我的梦,https://travel.qunar.com/youji/6886419,游客,2017-06-11 出发,共10天,149张照片,家庭,美食 古镇 毕业游 徒步 人文,人均3000元,1578,1,0
北京周边游：带着一颗文艺心走进北京书展,https://travel.qunar.com/youji/6545450,两个记事本,2016-08-25 出发,共1天,106张照片,情侣,短途周末 人文,人均100元,1103,0,0
在蓝天下审视北京的美,https://travel.qunar.com/youji/6576523,琳丁,2016-03-13 出发,共1天,55张照片,独自一人,,人均100元,2876,2,0
北京，一座伴我青春飞翔的梦想之城,https://travel.qunar.com/youji/6588378,小糖猫历险记,2016-07-16 出发,共2天,17张照片,独自一人,美食 短途周末 摄影 徒步 人文,,2067,0,0
国庆北京亲子游,https://travel.qunar.com/youji/4661996,zimo1980,2014-10-03 出发,共6天,23张照片,亲子,国庆,人均3700元,1.1万,40,1
梨花也压不过海棠--北土城游记,https://travel.qunar.com/youji/5920092,梁lsh,2015-04-12 出发,共1天,101张照片,家庭,短途周末,人均10元,2857,5,0
清明我们想要一整天都呆在故宫里,https://travel.qunar.com/youji/5397488,杨若若不含糖,2015-04-05 出发,共1天,32张照片,情侣,清明 短途周末,人均100元,6220,8,44
2016年冬，颐和园，我与“金洞”、夕阳有约,https://travel.qunar.com/youji/6740269,梁lsh,2016-12-09 出发,共1天,54张照片,独自一人,,,4689,0,1
南锣鼓巷&798，一次历史与时尚的碰撞！,https://travel.qunar.com/youji/6944945,晓雪的旅行日...,2017-11-11 出发,共1天,47张照片,三五好友,短途周末,人均100元,2841,5,0
入梦黄草梁,https://travel.qunar.com/youji/6034368,申申1,2015-10-04 出发,共1天,93张照片,,短途周末,,1728,1,0
#帝都周末去哪儿#文艺来袭——最清新的美术馆和最有底蕴的书店,https://travel.qunar.com/youji/7015044,夏嘻嘻,2018-03-30 出发,共1天,55张照片,独自一人,清明 穷游 五一 短途周末 踏春 人文,,3443,12,0
听一声儿北京吆喝，中气十足！从市区到郊外自驾京韵之旅,https://travel.qunar.com/youji/7605978,行走的二次元,2020-07-15 出发,共2天,69张照片,独自一人,美食 自驾 摄影,,4.1万,8,1
追忆快乐时光—北京什刹海、恭王府、孔庙,https://travel.qunar.com/youji/5975336,cadisemao,2015-01-01 出发,共2天,55张照片,亲子,,人均300元,2624,3,0
